order_id,order_date,customer_id,customer_segment,region,country,city,category,product,channel,payment_method,fulfillment_status,quantity,unit_price,discount_pct,revenue,cost,profit
ORD-000070,2025-12-07,CUST-1294,Clinic,Central,United States,Kansas City,Wellness,Immunity Gummies,Sales Rep,Bank Transfer,Returned,1,21.09,0.03,5.11,1.93,3.18
ORD-000071,2026-05-12,CUST-1057,Clinic,North,Canada,Toronto,Wellness,Protein Plus Sachets,Online,Insurance,Delivered,5,40.13,0,200.65,85.81,114.84
ORD-000072,2024-11-22,CUST-1246,Hospital,South,United States,Austin,OTC,DigestWell Caps,Retail Store,Wallet,Delivered,3,16.15,0.08,44.57,15.9,28.67
ORD-000073,2025-09-20,CUST-1353,Clinic,South,United States,Miami,Devices,Pulse Oximeter,Retail Store,Insurance,Delivered,5,51.35,0.03,249.05,92.83,156.22
ORD-000074,2025-10-08,CUST-1302,Clinic,West,United States,San Diego,Wellness,Protein Plus Sachets,Online,Insurance,Returned,2,35.46,0.1,15.96,6.86,9.09
ORD-000075,2026-02-11,CUST-1235,Hospital,West,United States,Seattle,Prescription,RespiraClear,Partner,Insurance,Delivered,8,38.48,0.05,292.45,125.19,167.25
ORD-000076,2026-03-06,CUST-1451,Clinic,West,Canada,Vancouver,Prescription,GlucoBalance XR,Partner,Card,Delivered,2,65.57,0.12,115.4,50.24,65.16
ORD-000077,2024-10-14,CUST-1263,Retail,North,United States,Chicago,OTC,PainEase Tablets,Retail Store,Wallet,Delivered,6,12.27,0.05,69.94,25.04,44.9
ORD-000078,2026-04-24,CUST-1404,Hospital,West,United States,Seattle,Devices,BP Monitor,Online,Card,Delivered,7,88.24,0.1,555.91,250.23,305.68
ORD-000079,2025-06-26,CUST-1634,Clinic,Central,United States,Kansas City,Prescription,CardioRelief 10mg,Partner,Insurance,Cancelled,6,33.12,0.03,0,0.0,0.0
ORD-000080,2026-03-27,CUST-1311,Clinic,North,Canada,Toronto,Devices,Pulse Oximeter,Sales Rep,Wallet,Delivered,7,49.17,0,344.19,147.51,196.68
ORD-000081,2025-08-04,CUST-1501,Hospital,South,United States,Miami,Prescription,GlucoBalance XR,Partner,Wallet,Cancelled,3,57.14,0.12,0,0.0,0.0
ORD-000082,2025-06-07,CUST-1660,Retail,North,Canada,Toronto,Devices,BP Monitor,Retail Store,Insurance,Delivered,2,85.34,0.05,162.15,75.12,87.03
ORD-000083,2026-04-10,CUST-1051,Distributor,South,United States,Austin,Prescription,NeuroCalm Plus,Partner,Insurance,Delivered,7,45.73,0.1,288.1,139.42,148.68
ORD-000084,2025-01-08,CUST-1610,Clinic,South,United States,Austin,Prescription,GlucoBalance XR,Retail Store,Card,Cancelled,4,56.06,0.03,0,0.0,0.0
ORD-000085,2024-10-13,CUST-1016,Retail,South,Mexico,Monterrey,Prescription,GlucoBalance XR,Online,Bank Transfer,Delivered,1,50.43,0.03,48.92,23.32,25.6
ORD-000086,2025-06-06,CUST-1044,Retail,Central,Mexico,Guadalajara,Prescription,GlucoBalance XR,Online,Insurance,Returned,2,49.52,0.03,24.02,12.09,11.92
ORD-000087,2025-10-16,CUST-1151,Clinic,North,United States,Chicago,OTC,ColdAway Syrup,Retail Store,Card,Delivered,8,13.89,0,111.12,38.86,72.26
ORD-000088,2025-08-15,CUST-1666,Hospital,Central,Mexico,Guadalajara,Prescription,NeuroCalm Plus,Retail Store,Bank Transfer,Cancelled,2,45.42,0,0,0.0,0.0
ORD-000089,2025-04-17,CUST-1156,Clinic,Central,United States,Kansas City,OTC,PainEase Tablets,Retail Store,Wallet,Delivered,7,10.11,0.05,67.23,22.4,44.83
ORD-000090,2025-12-22,CUST-1686,Retail,North,United States,Chicago,Prescription,CardioRelief 10mg,Partner,Card,Delivered,1,48.11,0.1,43.3,18.8,24.5
ORD-000091,2025-11-02,CUST-1110,Hospital,North,United States,Chicago,OTC,DigestWell Caps,Online,Insurance,Cancelled,4,18.17,0.08,0,0.0,0.0
ORD-000092,2026-02-27,CUST-1273,Hospital,North,United States,Chicago,Devices,BP Monitor,Partner,Card,Cancelled,1,78.41,0.12,0,0.0,0.0
ORD-000093,2026-04-05,CUST-1031,Retail,West,United States,San Diego,Prescription,NeuroCalm Plus,Sales Rep,Card,Cancelled,7,45.21,0.12,0,0.0,0.0
ORD-000094,2025-04-29,CUST-1632,Hospital,Central,United States,Kansas City,Wellness,OmegaCare Softgels,Online,Card,Delivered,2,28.45,0.03,55.19,21.91,33.28
ORD-000095,2025-03-07,CUST-1113,Hospital,Central,Mexico,Guadalajara,Wellness,Immunity Gummies,Retail Store,Insurance,Returned,4,19.44,0,19.44,7.01,12.43
ORD-000096,2024-06-08,CUST-1782,Retail,West,United States,Seattle,Wellness,Protein Plus Sachets,Sales Rep,Insurance,Delivered,4,36.05,0.03,139.87,64.18,75.7
ORD-000097,2025-11-28,CUST-1073,Clinic,North,United States,Chicago,Prescription,CardioRelief 10mg,Online,Wallet,Returned,4,47.12,0.12,41.47,18.7,22.76
ORD-000098,2026-01-11,CUST-1296,Hospital,Central,United States,Denver,Devices,Digital Thermometer,Online,Card,Delivered,7,24.17,0.12,148.89,50.23,98.65
ORD-000099,2024-08-30,CUST-1410,Hospital,South,Mexico,Monterrey,OTC,AllerFree Spray,Partner,Card,Delivered,7,19.6,0.03,133.08,50.05,83.03
ORD-000100,2026-03-11,CUST-1357,Retail,West,United States,Seattle,OTC,AllerFree Spray,Online,Insurance,Cancelled,2,20.82,0.03,0,0.0,0.0
ORD-000101,2024-11-04,CUST-1772,Retail,South,United States,Austin,Wellness,OmegaCare Softgels,Online,Wallet,Cancelled,2,27.98,0.12,0,0.0,0.0
ORD-000102,2025-03-09,CUST-1462,Hospital,West,United States,Seattle,Wellness,Immunity Gummies,Retail Store,Card,Delivered,1,21.02,0,21.02,7.54,13.48
ORD-000103,2026-01-30,CUST-1756,Distributor,North,Canada,Toronto,Prescription,NeuroCalm Plus,Sales Rep,Card,Cancelled,17,53.02,0.1,0,0.0,0.0
ORD-000104,2025-09-05,CUST-1086,Hospital,West,Canada,Vancouver,OTC,PainEase Tablets,Online,Bank Transfer,Delivered,2,13.59,0.05,25.82,9.46,16.36
ORD-000105,2025-03-17,CUST-1053,Hospital,Central,Mexico,Guadalajara,Prescription,RespiraClear,Online,Insurance,Delivered,7,29.2,0.05,194.18,81.89,112.29
ORD-000106,2024-11-01,CUST-1358,Retail,Central,United States,Kansas City,Prescription,CardioRelief 10mg,Sales Rep,Insurance,Cancelled,6,36.82,0.12,0,0.0,0.0
ORD-000107,2025-06-21,CUST-1756,Clinic,South,Mexico,Monterrey,Devices,Nebulizer Kit,Online,Card,Cancelled,6,61.63,0.12,0,0.0,0.0
ORD-000108,2025-05-16,CUST-1302,Retail,West,United States,Seattle,Wellness,Protein Plus Sachets,Online,Card,Delivered,8,35.04,0.03,271.91,113.04,158.88
ORD-000109,2024-12-03,CUST-1692,Retail,West,Canada,Vancouver,OTC,ColdAway Syrup,Online,Bank Transfer,Delivered,3,18.97,0,56.91,20.2,36.71
ORD-000110,2024-12-16,CUST-1472,Hospital,Central,United States,Denver,Devices,BP Monitor,Online,Insurance,Returned,6,77.7,0.1,104.9,51.99,52.9
ORD-000111,2024-07-24,CUST-1728,Clinic,South,United States,Austin,Wellness,Protein Plus Sachets,Online,Card,Delivered,8,36.17,0.1,260.42,122.55,137.88
ORD-000112,2024-09-02,CUST-1424,Distributor,West,United States,San Diego,Prescription,GlucoBalance XR,Online,Card,Returned,8,64.31,0.05,122.19,61.38,60.8
ORD-000113,2025-04-23,CUST-1149,Distributor,South,United States,Miami,OTC,AllerFree Spray,Online,Bank Transfer,Delivered,4,19.58,0.12,68.92,25.5,43.42
ORD-000114,2024-06-20,CUST-1744,Hospital,South,Mexico,Monterrey,Prescription,RespiraClear,Retail Store,Wallet,Delivered,5,28.98,0.03,140.55,58.08,82.48
ORD-000115,2025-09-12,CUST-1016,Retail,South,United States,Miami,Prescription,NeuroCalm Plus,Online,Bank Transfer,Cancelled,2,40.0,0.08,0,0.0,0.0
ORD-000116,2024-12-09,CUST-1538,Hospital,Central,United States,Denver,Wellness,Immunity Gummies,Online,Card,Returned,2,20.62,0.05,9.79,3.37,6.42
ORD-000117,2025-06-01,CUST-1106,Retail,North,Canada,Toronto,OTC,DigestWell Caps,Online,Insurance,Delivered,2,17.04,0.12,29.99,10.76,19.23
ORD-000118,2026-05-14,CUST-1794,Retail,West,Canada,Vancouver,Prescription,NeuroCalm Plus,Partner,Wallet,Returned,8,52.13,0.03,101.13,42.33,58.8
ORD-000119,2025-11-10,CUST-1037,Distributor,North,United States,New York,Prescription,GlucoBalance XR,Online,Bank Transfer,Delivered,13,72.16,0.1,844.27,395.12,449.15
ORD-000120,2025-08-25,CUST-1509,Retail,West,United States,San Diego,Prescription,CardioRelief 10mg,Online,Insurance,Returned,7,41.91,0.03,71.14,30.57,40.57
ORD-000121,2025-12-11,CUST-1302,Hospital,North,Canada,Toronto,Devices,BP Monitor,Retail Store,Insurance,Delivered,5,81.82,0,409.1,183.0,226.1
ORD-000122,2026-02-20,CUST-1652,Hospital,South,Mexico,Monterrey,OTC,DigestWell Caps,Retail Store,Wallet,Delivered,7,15.19,0,106.33,34.69,71.64
ORD-000123,2024-07-06,CUST-1392,Clinic,North,United States,New York,OTC,PainEase Tablets,Partner,Card,Returned,3,10.89,0.12,7.19,2.39,4.8
ORD-000124,2025-11-25,CUST-1116,Hospital,West,United States,San Diego,Wellness,Protein Plus Sachets,Online,Card,Delivered,6,41.37,0.12,218.43,92.71,125.73
ORD-000125,2025-01-06,CUST-1138,Retail,Central,Mexico,Guadalajara,Wellness,Protein Plus Sachets,Partner,Card,Returned,5,37.3,0.08,42.9,17.97,24.93
ORD-000126,2026-05-28,CUST-1161,Distributor,North,Canada,Toronto,OTC,DigestWell Caps,Sales Rep,Bank Transfer,Delivered,3,17.93,0.05,51.1,19.01,32.1
ORD-000127,2024-06-27,CUST-1564,Clinic,North,United States,New York,Wellness,OmegaCare Softgels,Online,Bank Transfer,Returned,6,30.28,0.05,43.15,18.03,25.12
ORD-000128,2025-11-21,CUST-1324,Retail,North,United States,Chicago,Wellness,Vitamin D3 Drops,Partner,Card,Returned,7,27.75,0.1,43.71,15.88,27.82
ORD-000129,2025-08-18,CUST-1168,Clinic,South,Mexico,Monterrey,OTC,AllerFree Spray,Online,Bank Transfer,Delivered,1,19.54,0.1,17.59,6.31,11.27
ORD-000130,2024-12-19,CUST-1546,Distributor,West,Canada,Vancouver,Prescription,GlucoBalance XR,Partner,Card,Delivered,18,63.18,0.12,1000.77,455.52,545.25
ORD-000131,2025-05-12,CUST-1656,Clinic,South,United States,Austin,OTC,PainEase Tablets,Partner,Insurance,Cancelled,1,11.93,0,0,0.0,0.0
ORD-000132,2025-10-08,CUST-1464,Distributor,North,United States,Chicago,Wellness,Protein Plus Sachets,Retail Store,Card,Delivered,8,39.25,0.12,276.32,119.75,156.57
ORD-000133,2024-10-26,CUST-1353,Hospital,Central,United States,Kansas City,Wellness,OmegaCare Softgels,Online,Wallet,Cancelled,6,28.31,0.05,0,0.0,0.0
ORD-000134,2025-02-09,CUST-1630,Retail,North,United States,Chicago,Prescription,NeuroCalm Plus,Online,Wallet,Returned,3,43.92,0.05,31.29,15.09,16.21
ORD-000135,2025-10-24,CUST-1092,Clinic,West,Canada,Vancouver,Prescription,GlucoBalance XR,Online,Wallet,Delivered,8,59.68,0.05,453.57,213.09,240.48
ORD-000136,2026-02-02,CUST-1441,Retail,South,Mexico,Monterrey,OTC,PainEase Tablets,Online,Bank Transfer,Returned,8,10.47,0,20.94,7.52,13.42
ORD-000137,2024-12-17,CUST-1461,Retail,Central,United States,Kansas City,Devices,BP Monitor,Online,Insurance,Cancelled,6,75.43,0,0,0.0,0.0
ORD-000138,2025-12-24,CUST-1411,Retail,South,United States,Austin,Wellness,Vitamin D3 Drops,Partner,Card,Delivered,6,25.1,0.03,146.08,57.91,88.18
ORD-000139,2024-10-22,CUST-1631,Hospital,West,United States,San Diego,Prescription,GlucoBalance XR,Online,Insurance,Cancelled,6,65.98,0.05,0,0.0,0.0
ORD-000140,2025-08-01,CUST-1644,Clinic,West,United States,San Diego,Wellness,Protein Plus Sachets,Online,Card,Delivered,5,40.63,0.12,178.77,83.34,95.43
ORD-000141,2026-03-07,CUST-1586,Retail,South,Mexico,Monterrey,Wellness,Immunity Gummies,Retail Store,Card,Cancelled,7,17.45,0.12,0,0.0,0.0
ORD-000142,2025-10-27,CUST-1722,Retail,West,United States,San Diego,Prescription,RespiraClear,Partner,Bank Transfer,Returned,8,38.82,0.12,68.32,29.03,39.29
ORD-000143,2025-11-28,CUST-1738,Retail,Central,Mexico,Guadalajara,OTC,AllerFree Spray,Sales Rep,Insurance,Returned,6,19.64,0.12,25.92,10.28,15.64
ORD-000144,2025-03-23,CUST-1357,Hospital,South,United States,Miami,Wellness,OmegaCare Softgels,Online,Insurance,Delivered,4,28.38,0.08,104.44,42.58,61.86
ORD-000145,2024-07-14,CUST-1452,Distributor,Central,United States,Kansas City,Prescription,RespiraClear,Partner,Insurance,Delivered,10,33.19,0,331.9,132.73,199.17
ORD-000146,2024-10-19,CUST-1051,Retail,South,Mexico,Monterrey,Wellness,OmegaCare Softgels,Retail Store,Bank Transfer,Delivered,2,27.89,0.1,50.2,20.21,30.0
ORD-000147,2024-06-06,CUST-1204,Retail,North,United States,Chicago,Wellness,Vitamin D3 Drops,Retail Store,Insurance,Delivered,3,22.72,0.08,62.71,24.37,38.34
ORD-000148,2024-11-27,CUST-1037,Hospital,North,Canada,Toronto,Prescription,CardioRelief 10mg,Retail Store,Wallet,Delivered,7,51.51,0.03,349.75,160.84,188.92
ORD-000149,2025-05-10,CUST-1505,Retail,West,United States,Seattle,Wellness,OmegaCare Softgels,Retail Store,Bank Transfer,Delivered,5,30.65,0.12,134.86,57.03,77.83
ORD-000150,2026-03-26,CUST-1302,Clinic,West,United States,Seattle,Devices,Nebulizer Kit,Online,Bank Transfer,Returned,5,68.92,0,86.15,38.45,47.7
ORD-000151,2024-12-07,CUST-1392,Retail,Central,Mexico,Guadalajara,Prescription,RespiraClear,Retail Store,Bank Transfer,Delivered,3,33.27,0.03,96.82,36.56,60.25
ORD-000152,2026-04-01,CUST-1476,Hospital,West,United States,San Diego,OTC,AllerFree Spray,Retail Store,Insurance,Delivered,6,21.64,0,129.84,50.66,79.18
ORD-000153,2025-01-13,CUST-1765,Distributor,North,Canada,Toronto,Prescription,NeuroCalm Plus,Online,Insurance,Cancelled,8,60.64,0.08,0,0.0,0.0
ORD-000154,2025-11-21,CUST-1577,Clinic,South,United States,Austin,OTC,DigestWell Caps,Retail Store,Card,Delivered,8,18.12,0.05,137.71,44.95,92.77
ORD-000155,2026-04-28,CUST-1522,Retail,South,United States,Austin,Prescription,GlucoBalance XR,Retail Store,Wallet,Delivered,4,55.0,0.08,202.4,88.9,113.5
ORD-000156,2025-09-17,CUST-1003,Retail,South,Mexico,Monterrey,Wellness,Protein Plus Sachets,Retail Store,Bank Transfer,Cancelled,5,34.95,0.08,0,0.0,0.0
ORD-000157,2024-08-10,CUST-1138,Clinic,Central,United States,Kansas City,OTC,ColdAway Syrup,Retail Store,Wallet,Delivered,8,11.95,0.08,87.95,30.04,57.91
ORD-000158,2024-10-15,CUST-1130,Retail,Central,United States,Kansas City,OTC,DigestWell Caps,Partner,Bank Transfer,Cancelled,6,13.98,0.1,0,0.0,0.0
ORD-000159,2025-06-24,CUST-1193,Clinic,West,United States,San Diego,Wellness,Vitamin D3 Drops,Retail Store,Card,Cancelled,4,22.62,0.05,0,0.0,0.0
